latitude,longitude,altitude,geometry,street,neighbourhood,currentResult,votesTotal,osmnodeid,marker-color,comment
49.620553,6.167944,,Point,Boulevard Charles Simonis,Cents,2,6,node/1447452016,#FF0000,
49.617624,6.1653,,Point,Rue Léon Kauffman,Cents,0,6,node/1447466548,#FFD700,
49.628394,6.151547,,Point,Val des Bons-Malades,Kirchberg,2,6,node/1457906855,#FF0000,
49.602232,6.113492,,Point,Boulevard Pierre Dupong,Hollerich,0,6,node/1508464437,#FFD700,
49.593629,6.141013,,Point,Rue du Cimetière,Bonnevoie,12,6,node/1508527230,#FF0000,
49.594501,6.140738,,Point,Rue Demy Schlechter,Bonnevoie,10,6,node/1508527238,#FFD700,
49.594557,6.140563,,Point,Rue du Cimetière,Bonnevoie,2,6,node/1508527239,#FF0000,
49.595382,6.140137,,Point,Rue du Cimetière,Bonnevoie,2,6,node/1508527240,#FF0000,
49.595489,6.140138,,Point,Rue Marguerite-Séraphine Beving,Bonnevoie,2,6,node/1508527241,#FF0000,
49.596409,6.138878,,Point,Rue du Cimetière,Bonnevoie,2,6,node/1508527245,#FF0000,
49.597574,6.137846,,Point,Rue de Bonnevoie,Bonnevoie,2,6,node/1508527250,#FF0000,
49.598888,6.124874,,Point,Rue de la Fonderie,Gare,2,6,node/1508527253,#FF0000,
49.59948,6.137205,,Point,Rue Antoine Godart,Verlorenkost,2,6,node/1508527254,#FF0000,
49.599531,6.137395,,Point,Rue des Romains,Verlorenkost,2,6,node/1508527255,#FF0000,
49.6098,6.107626,,Point,Rue Charles Arendt,Belair,2,6,node/1510222741,#FF0000,
49.611584,6.107438,,Point,Rue d'Amsterdam,Belair,2,6,node/1510222768,#FF0000,
49.59955,6.124731,,Point,Rue de la Fonderie,Gare,2,6,node/1511944343,#FF0000,
49.600316,6.128056,,Point,Rue Adolphe Fischer,Gare,2,6,node/1511944366,#FF0000,
49.600365,6.127867,,Point,Rue de Strasbourg,Gare,2,6,node/1511944368,#FF0000,
49.600424,6.128126,,Point,Rue de Strasbourg,Gare,2,6,node/1511944371,#FF0000,
49.60313,6.118119,,Point,Rue Raymond Poincaré,Hollerich,2,7,node/1511944414,#FF0000,
49.603701,6.120581,,Point,Rue Jean Jaurès,Hollerich,2,7,node/1511944427,#FF0000,
49.605937,6.114244,,Point,Rue de Bragance,Hollerich,2,7,node/1511944460,#FF0000,
49.618122,6.110917,,Point,Rue de Rollingergrund,Rollingergrund,2,7,node/1512029001,#FF0000,
49.606831,6.118065,,Point,Rue Albert 1er,Belair,2,7,node/1517844090,#FF0000,
49.612417,6.124397,,Point,Avenue Émile Reuter,Ville-Haute,0,6,node/1525441222,#FFD700,
49.5957,6.136411,,Point,Dernier Sol,Bonnevoie,2,6,node/1579018557,#FF0000,
49.603182,6.101385,,Point,Rue Béatrix de Bourbon,Merl,2,6,node/1582350183,#FF0000,
49.605362,6.097643,,Point,Route de Longwy,Merl,12,6,node/1582486770,#FF0000,
49.613591,6.129417,,Point,,Clausen,12,5,node/1587861846,#FF0000,
